Chrmosome	Strand	Junction	/home/bio-longyk/STAR_TRIM/low-1/Aligned.sortedByCoord.out.bam	/home/bio-longyk/STAR_TRIM/low-2/Aligned.sortedByCoord.out.bam	/home/bio-longyk/STAR_TRIM/high-1/Aligned.sortedByCoord.out.bam	/home/bio-longyk/STAR_TRIM/high-2/Aligned.sortedByCoord.out.bam
chr7	-	551470-579256	63.3506897499257	86.5622114426758	575.081692541573	444.860580647933
chr7	-	578853-579256	17.4760523448071	13.4652328910829	330.012923733534	284.16204490727
chr7	-	579377-584508	122.33236641365	141.38494535637	1311.26436856253	1181.72215916609
chr7	-	584568-596146	174.760523448071	192.360469872613	1816.04745013128	1555.05229402703
chr7	-	596304-601453	0	0.961802349363065	268.501639132313	166.577750462882
chr7	-	596304-602553	1.09225327155044	2.88540704808919	145.479069929872	123.463509166607
chr7	-	596304-606193	129.978139314503	130.805119513377	642.451194723862	592.820817823787
chr7	-	606239-607391	121.240113142099	129.843317164014	664.907695451292	575.183173657129
chr7	-	607452-635825	72.0887159223293	39.4338963238856	76.1568285538925	85.248613472181
chr7	-	607452-677229	75.3654757369806	99.0656419843956	615.112846012209	511.491680833086
chr7	-	677320-680556	80.8267420947328	95.2184325869434	636.592977142794	560.485136851581
chr7	-	680726-711329	111.409833698145	135.614131260192	710.797066502997	693.747337221887
chr7	-	711527-727210	17.4760523448071	20.1978493366244	200.155767353179	188.13487111102
chr7	-	711527-727590	57.8894233921735	78.8677926477713	304.62731421557	317.477594999846
chr3	+	51983589-51984047	205.343615051483	216.40552860669	358.327642042033	258.685447777653
chr3	+	51984158-51985207	221.72741412474	186.589655776435	366.138598816791	299.839950833188
chr3	+	51984158-51985361	17.4760523448071	26.9304657821658	16.5982831463612	16.6577750462882
chr3	+	51985271-51985361	257.771772085905	237.565180292677	510.641299149818	413.504768796096
chr3	+	51985465-51985852	263.233038443657	226.02355210032	464.751928098113	365.491181897971
chr3	+	51985946-51986255	301.461902947922	261.610239026754	482.326580841319	360.591836296122
chr3	+	51986331-51986415	280.709090788464	256.801227279938	472.562884872872	364.511312777601
chr3	+	51986504-51986605	309.107675848776	234.679773244588	458.893710517045	387.048302546109
chr3	+	51986661-51986988	247.941492641951	175.048027584078	331.965662927224	304.739296435038
chr3	+	51987061-51987147	184.590802892025	159.659189994269	301.698205425036	244.967280092474
chr3	+	51987061-51987556	12.0147859870549	11.5416281923568	9.76369596844776	9.79869120369896
chr3	+	51987196-51987309	209.712628137685	188.513260475161	384.689621156842	308.658772916517
chr3	+	51987453-51987556	212.989387952336	238.52698264204	373.949555591549	332.175631805395
chr3	+	51987624-51988524	120.147859870549	142.346747705734	378.831403575773	320.417202360956
chr3	+	51987624-51988766	114.686593512797	121.187096019746	31.2438270990328	39.1947648147959
chr3	+	51988603-51988766	138.716165486906	134.652328910829	390.54783873791	302.779558194298
chr3	+	51988826-51988911	227.188680482492	206.787505113059	441.319057773839	347.853537731313
chr3	+	58008856-58077046	422.702016090022	361.637683360512	1095.48668765984	1086.67485449022
chr3	+	58077294-58078717	575.617474107084	489.5573958258	1488.96363518828	1474.70302615669
chr3	+	58078814-58081629	503.528758184754	427.040243117201	1294.66608541617	1302.24606097159
chr3	+	58081776-58094836	545.034382503671	442.42908070701	1422.57050260284	1337.52134930491
chr3	+	58094954-58096141	543.942129232121	481.862977030895	1338.60271727419	1315.96422865677
chr3	+	58096218-58097815	493.6984787408	438.581871309557	1368.87017477638	1230.71561518459
chr3	+	58097977-58098711	500.251998370103	510.717047511787	1440.14515534604	1295.386977129
chr3	+	58098908-58102203	736.178705024999	681.917865698413	1991.79397756334	1699.0930547214
chr3	+	58102340-58103959	592.00127318034	595.355654255737	1626.6317483434	1429.62904661968
chr3	+	58104085-58105080	512.266784357158	459.741522995545	1446.00337292711	1279.70907120308
chr3	+	58105216-58106680	495.882985283901	442.42908070701	1352.27189163001	1293.42723888826
chr3	+	58106873-58108458	457.654120779636	407.804196129939	1271.2332150919	1190.54098124942
chr3	+	58108571-58109179	471.853413309792	463.588732392997	1339.57908687103	1277.74933296234
chr3	+	58109322-58109576	561.418181576928	503.984431066246	1621.74990035917	1464.90433495299
chr3	+	58109699-58110010	517.72805071491	472.244953537265	1568.04957253271	1475.68289527706
chr3	+	58110170-58111791	742.732224654301	730.007983166566	2266.15383427672	2025.38947180458
chr3	+	58111881-58112149	586.540006822588	514.564256909239	1671.54474979826	1532.51530425852
chr3	+	58112318-58118872	597.462539538093	490.519198175163	1645.18277068345	1602.08601180478
chr3	+	58118989-58121241	578.894233921735	531.876699197775	1589.5297036633	1734.36834305472
chr3	+	58121503-58123093	599.647046081193	568.425188473571	1861.93682118299	1745.14690337879
chr3	+	58123690-58124332	656.444216201817	564.577979076119	1695.95398971938	1520.75687481408
chr3	+	58124505-58125581	608.385072253597	492.442802873889	1522.16020148101	1539.37438810111
chr3	+	58125743-58126602	415.056243189168	376.064718600958	1115.01407959673	1006.32558661988
chr3	+	58126762-58130741	678.289281632825	588.623037810195	1738.91425198055	1668.71711198993
chr3	+	58126762-58132808	24.0295719741098	25.0068610834397	25.3856095179642	11.7584294444388
chr3	+	58130908-58131927	41.5056243189169	51.9373268656055	548.719713426764	473.27678513866
chr3	+	58130908-58132808	577.801980650185	457.817918296819	1100.36853564406	1089.61446185132
chr3	+	58131989-58132808	3.27675981465133	8.65622114426758	51.7475886327731	49.9733251388647
chr3	+	58132019-58132808	32.7675981465133	28.8540704808919	342.705728492516	314.537987638737
chr3	+	58132931-58134616	632.414644227707	467.435941790449	1490.91637438197	1527.61595865667
chr3	+	58134772-58135979	604.016059167395	456.856115947456	1478.22356962299	1373.77650675859
chr3	+	58136168-58138282	642.244923671661	551.112746185036	1626.6317483434	1658.91842078623
chr3	+	58138529-58141858	749.285744283604	601.126468351915	539.932387055161	469.35730865718
chr3	+	58138529-58142650	37.1366112327151	40.3956986732487	1329.81539090258	1216.99744749941
chr3	+	58141896-58142650	136.531658943805	80.7913973464974	77.1331981507373	52.9129324999744
chr3	+	58141929-58142650	484.960452568397	416.460417274207	361.256750832567	317.477594999846
chr3	+	58142752-58143473	645.521683486312	571.31059552166	1777.96903585434	1629.52234717514
chr3	+	58142752-58145921	4.36901308620177	1.92360469872613	23.4328703242746	27.4363353703571
chr3	+	58143613-58145921	585.447753551038	526.105885101596	1548.52218059581	1556.0321631474
chr3	+	58146049-58146820	581.078740464836	541.494722691405	1500.68007035042	1637.3613001381
chr3	+	58146993-58148206	625.861124598404	619.400712989814	1670.56838020141	1651.07946782328
chr3	+	58148364-58148649	561.418181576928	547.265536787584	1545.59307180528	1509.97831449001
chr3	+	58148852-58149850	656.444216201817	535.723908595227	1768.20533988589	1697.13331648066
chr3	+	58150002-58150105	620.399858240652	525.144082752233	1603.19887801912	1706.93200768436
chr3	+	58150227-58153375	803.898407861126	730.007983166566	2195.8552233039	2047.92646157308
chr3	+	58153641-58154791	655.351962930266	585.737630762106	1637.37181390869	1546.2334719437
chr3	+	58154928-58155960	610.569578796698	612.668096544272	1830.69299408395	1671.65671935104
chr3	+	58156075-58159554	565.78719466313	642.483969374527	1704.74131609098	1573.66980731405
chr3	+	58159686-58163154	692.488574162981	767.518274791726	2106.02922039418	2068.50371310085
chr3	+	58163330-58168440	720.887159223293	650.178388169432	2044.51793579296	2044.98685421197
chr3	+	58168658-58169590	850.865298537795	732.893390214655	2163.63502660802	2237.04120180447
chr3	+	58169793-58170575	515.543544171809	515.526059258603	1314.19347735307	1366.91742291601
chr19	-	35497538-35497647	135.439405672255	130.805119513377	79.0859373444268	93.0875664351401
chr19	-	35497538-35498598	144.177431844659	145.232154753823	101.542438071857	92.1076973147702
chr19	-	35497538-35498716	290.539370232418	339.516229325162	214.801311305851	219.490682962857
chr19	-	35497681-35498598	46.9668906766691	32.7012798783442	21.4801311305851	12.7382985648087
chr19	-	35497681-35498716	32.7675981465133	43.2811057213379	31.2438270990328	35.2752883333163
chr19	-	35498763-35498874	290.539370232418	293.349716555735	183.557484206818	181.275787268431
chr19	-	35498897-35499958	237.018959926446	212.558319209237	119.117090815063	138.161545972155
chr19	-	35500029-35500378	87.3802617240355	64.4407574073253	55.6530670201522	54.8726707407142
chr19	-	35500029-35500533	175.852776719621	223.138145052231	121.069830008752	127.382985648087
chr19	-	35500419-35500533	74.2732224654302	50.0137221668794	39.054783873791	33.3155500925765
chr19	-	35500580-35502136	404.133710473664	528.029489800322	339.776619701982	282.20230666653
chr19	-	35500580-35505718	27.3063317887611	28.8540704808919	4.88184798422388	13.7181676851785
chr19	-	35502183-35502830	400.856950659013	439.543673658921	323.178336555621	278.282830185051
chr19	-	35502183-35505718	14.1992925301558	26.9304657821658	5.85821758106866	4.89934560184948
chr19	-	35502886-35505718	341.875273995289	383.759137395863	285.099922278675	251.826363935063
chr19	-	35503447-35505718	478.406932939094	534.762106245864	605.349150043761	604.579247268226
chr19	-	35505765-35505939	963.367385507491	1069.52421249173	1002.73157595958	919.117234906963
chr19	-	35505765-35509911	20.7528121594584	38.4720939745226	24.4092399211194	31.3558118518367
chr19	-	35505765-35510184	120.147859870549	144.27035240446	101.542438071857	102.886257638839
chr19	-	35505986-35506126	83.0112486378337	92.3330255388542	77.1331981507373	87.2083517129208
chr19	-	35505986-35507458	4.36901308620177	9.61802349363064	78.1095677475821	60.7518854629336
chr19	-	35505986-35508205	8.73802617240355	15.388837589809	3.9054783873791	12.7382985648087
chr19	-	35505986-35509911	440.178068434829	428.963847815927	435.46084019277	353.732752453533
chr19	-	35505986-35510184	897.832189214465	823.302811054783	753.757328764167	636.914928240433
chr19	-	35506185-35507458	4.36901308620177	4.80901174681532	23.4328703242746	30.3759427314668
chr19	-	35506185-35509911	54.6126635775222	73.0969785515929	29.2910879053433	36.2551574536862
chr19	-	35506185-35510184	79.7344888231824	39.4338963238856	24.4092399211194	32.3356809722066
chr19	-	35506665-35509911	40.4133710473664	14.427035240446	1.95273919368955	0
chr19	-	35507511-35508205	3.27675981465133	2.88540704808919	29.2910879053433	24.4967280092474
chr19	-	35507511-35509911	4.36901308620177	8.65622114426758	83.9677853286507	53.8928016203443
chr19	-	35507511-35510184	7.6457729008531	9.61802349363064	54.6766974233074	52.9129324999744
chr19	-	35508240-35509911	51.3359037628708	74.058780900956	78.1095677475821	43.1142412962754
chr19	-	35508240-35510184	25.1218252456602	35.5866869264334	37.1020446801015	44.0941104166453
chr19	-	35509961-35510184	914.215988287721	939.680895327714	919.740160227779	741.760924120012
chr19	-	35510252-35510371	305.830916034124	324.127391735353	247.997877598573	277.302961064681
chr19	-	35510252-35510379	240.295719741098	249.106808485034	342.705728492516	232.228981527665
chr19	-	35510252-35510483	14.1992925301558	23.0832563847136	13.6691743558269	9.79869120369896
chr19	-	35510252-35511411	49.15139721977	39.4338963238856	7.81095677475821	6.85908384258927
chr19	-	35511593-35511763	36.0443579611646	37.5102916251595	10.7400655652925	11.7584294444388
chr19	-	35511813-35512421	37.1366112327151	24.0450587340766	13.6691743558269	13.7181676851785
chr19	-	35512477-35512590	36.0443579611646	18.2742446378982	7.81095677475821	7.83895296295917
chr19	-	35512790-35513050	81.9189953662833	45.204710420064	32.2201966958776	13.7181676851785
chr11	+	57762046-57789037	0	1.92360469872613	310.485531796639	270.443877222091
chr11	+	57762046-57791385	7.6457729008531	3.84720939745226	48.8184798422388	37.2350265740561
chr11	+	57762046-57794010	570.156207749331	664.605423409878	491.113907212922	508.552073471976
chr11	+	57762046-57795577	218.450654310089	236.603377943314	146.455439526716	153.839451898074
chr11	+	57762068-57794010	14.1992925301558	20.1978493366244	15.6219135495164	17.6376441666581
chr11	+	57762119-57794010	61.1661832068248	50.9755245162424	53.7003278264627	28.416204490727
chr11	+	57791673-57794010	25.1218252456602	14.427035240446	228.470485661678	179.316049027691
chr11	+	57791673-57795577	4.36901308620177	2.88540704808919	31.2438270990328	23.5168588888775
chr11	+	57794081-57795577	587.632260094139	613.629898893635	695.17515295348	622.216891434884
chr11	+	57795729-57796457	558.141421762277	492.442802873889	649.285781901776	585.961733981198
chr11	+	57796992-57801733	366.997099240949	365.484892757965	463.775558501269	428.202805601645
chr11	+	57802196-57803621	460.930880594287	486.671988777711	572.152583751039	521.290372036785
chr11	+	57803804-57804663	468.57665349514	544.380129739494	622.923802786967	572.243566296019
chr11	+	57804780-57805882	610.569578796698	701.153912685674	899.236398694039	767.237521249629
chr11	+	57806035-57806915	531.927343245066	506.869838114335	686.387826581877	553.626053008991
chr11	+	57806983-57808165	444.54708152103	483.786581729621	596.561823672158	481.115738101619
chr11	+	57808292-57808390	474.037919852892	410.689603178029	573.128953347883	474.25665425903
chr11	+	57808540-57809274	513.359037628708	553.998153233125	707.867957712462	558.525398610841
chr11	+	57809466-57810109	475.130173124443	512.640652210513	682.482348194498	567.34422069417
chr11	+	57810223-57811399	819.189953662833	731.931587865292	1097.43942685353	843.667312638481
chr11	+	57811486-57814311	893.463176128263	818.493799307968	1156.02160266421	910.298412823634
chr11	+	57811486-57815394	21.8450654310089	24.0450587340766	41.9838926643254	17.6376441666581
chr11	+	57814373-57815394	714.33363959399	739.626006660197	983.204184022689	831.908883194042
chr11	+	57815500-57815915	27.3063317887611	14.427035240446	8.78732637160298	22.5369897685076
chr11	+	57815500-57816297	629.137884413055	733.855192564018	847.488810061265	778.995950694068
chr11	+	57815500-57816300	34.9521046896142	51.9373268656055	55.6530670201522	66.6311001851529
chr11	+	57816001-57816297	25.1218252456602	14.427035240446	13.6691743558269	18.617513287028
chr20	-	62309475-62309716	395.395684301261	368.370299806054	681.505978597654	607.518854629336
chr20	-	62309835-62309988	346.244287081491	419.345824322296	725.442610455669	645.733750323762
chr20	-	62310081-62310178	274.155571159161	358.752276312423	601.443671656382	517.370895555305
chr20	-	62310311-62310419	330.952741279784	288.540704808919	734.229936827271	647.693488564501
chr20	-	62310311-62310665	9.83027944395399	14.427035240446	14.6455439526716	39.1947648147959
chr20	-	62310572-62310665	332.044994551335	417.42221962357	625.852911577501	591.840948703417
chr20	-	62310829-62310902	245.75698609885	337.592624626436	484.279320035009	488.954691064578
chr20	-	62311094-62311162	259.956278629006	262.572041376117	455.96460172651	470.33717777755
chr20	-	62311307-62311386	16.3837990732567	22.1214540353505	51.7475886327731	45.0739795370152
chr20	-	62311307-62311401	270.87881134451	315.471170591085	462.799188904424	438.001496805344
chr20	-	62311536-62311614	292.723876775519	329.898205831531	552.625191814143	492.874167546058
chr20	-	62311784-62311920	290.539370232418	341.439834023888	591.679975687934	532.068932360854
chr20	-	62312050-62312173	291.631623503968	303.929542398728	571.176214154194	523.250110277525
chr20	-	62312316-62312400	259.956278629006	305.853147097454	546.766974233075	483.075476342359
chr20	-	62312532-62312632	261.048531900556	316.432972940448	519.428625521421	506.592335231236
chr20	-	62312780-62312888	225.004173939391	250.068610834397	430.578992208546	380.18921870352
chr20	-	62313010-62313088	298.185143133271	305.853147097454	496.972124793991	424.283329120165
chr20	-	62313250-62313327	328.768234736683	332.78361287962	535.050539070937	516.391026434935
chr20	-	62313460-62313649	316.753448749629	355.866869264334	619.018324399588	587.921472221938
chr20	-	62313802-62314304	344.05978053839	291.426111857009	577.034431735263	518.350764675675
chr20	-	62314440-62314555	240.295719741098	192.360469872613	398.358795512669	317.477594999846
chr20	-	62314725-62314799	277.432330973813	314.509368241722	570.199844557349	463.478093934961
chr20	-	62314947-62315028	328.768234736683	431.849254864016	611.20736762483	533.048801481224
chr20	-	62315207-62315948	311.292182391876	388.568149142678	606.325519640606	530.109194120114
chr20	-	62316058-62316671	228.280933754043	276.999076616563	489.161168019233	416.444376157206
chr20	-	62316773-62316882	214.081641223887	163.506399391721	372.973185994704	296.900343472079
chr20	-	62317023-62317345	166.022497275667	168.315411138536	346.611206879895	287.10165226838
chr20	-	62317499-62317662	234.834453383345	233.717970895225	415.933448255875	345.893799490573
chr20	-	62317778-62318454	251.218252456602	277.960878965926	511.617668746663	378.22948046278
chr20	-	62318650-62318843	207.528121594584	250.068610834397	433.508100999081	347.853537731313
chr20	-	62319013-62319443	41.5056243189169	60.5935480098731	42.9602622611701	14.6980368055484
chr20	-	62319013-62319684	167.114750547218	184.666051077708	447.177275354907	304.739296435038
chr20	-	62319569-62319684	41.5056243189169	64.4407574073253	33.1965662927224	16.6577750462882
chr20	-	62319795-62320559	190.052069249777	209.672912161148	383.713251559997	341.974323009094
chr20	-	62320669-62320739	208.620374866135	202.940295715607	394.453317125289	323.356809722066
chr20	-	62320890-62322019	151.823204745512	173.124422885352	315.367379780863	227.329635925816
chr20	-	62322168-62322269	225.004173939391	191.39866752325	340.752989298827	334.135370046135
chr20	-	62322449-62322658	155.099964560163	142.346747705734	324.154706152466	288.081521388749
chr20	-	62322449-62323456	16.3837990732567	14.427035240446	10.7400655652925	10.7785603240689
chr20	-	62322758-62323456	155.099964560163	188.513260475161	320.249227765086	332.175631805395
chr20	-	62323670-62323776	148.54644493086	178.89523698153	321.225597361931	319.437333240586
chr20	-	62323856-62324080	131.070392586053	168.315411138536	275.336226310227	247.906887453584
chr20	-	62324204-62324441	166.022497275667	215.443726257326	330.012923733534	292.000997870229
chr20	-	62324554-62325316	144.177431844659	143.308550055097	268.501639132313	243.007541851734
chr20	-	62325546-62326677	173.668270176521	181.780644029619	384.689621156842	265.544531620242
chr20	-	62326760-62326865	176.945029991172	183.704248728345	378.831403575773	318.457464120216
chr20	-	62326966-62327233	194.421082335979	200.054888667517	396.406056318979	323.356809722066
chr20	-	62327406-62327529	182.406296348924	173.124422885352	320.249227765086	260.645186018392
chr20	-	62327669-62327866	195.513335607529	218.329133305416	396.406056318979	390.967779027589
chr20	-	62328010-62328241	159.468977646365	198.131283968791	375.902294785239	301.799689073928
chr20	-	62328445-62328844	145.269685116209	164.468201741084	329.036554136689	289.061390509119
chr20	-	62329055-62329138	195.513335607529	187.551458125798	340.752989298827	317.477594999846
chr20	-	62329253-62329777	155.099964560163	176.971632282804	252.879725582797	285.14191402764
chr20	-	62329916-62330488	116.871100055897	139.461340657644	280.218074294451	221.450421203597
chr20	-	62330614-62330743	111.409833698145	124.072503067835	277.288965503916	260.645186018392
chr20	-	62330944-62331032	104.856314068843	127.919712465288	263.619791148089	248.886756573954
chr20	-	62331129-62332372	41.5056243189169	13.4652328910829	240.186920823815	168.537488703622
chr20	-	62331233-62331300	42.5978775904673	16.3506399391721	10.7400655652925	12.7382985648087
chr20	-	62331729-62332372	112.502086969696	148.117561801912	28.3147183084985	39.1947648147959
chr20	-	62332480-62332557	115.778846784347	177.933434632167	321.225597361931	243.007541851734
chr20	-	62332717-62333090	119.055606598998	122.148898369109	279.241704697606	252.806233055433
chr20	-	62333243-62333375	168.207003818768	135.614131260192	339.776619701982	236.148458009145
chr20	-	62333481-62333564	138.716165486906	109.645467827389	321.225597361931	258.685447777653
chr20	-	62333706-62333901	136.531658943805	127.919712465288	309.509162199794	272.403615462831
chr20	-	62334039-62334186	134.347152400705	176.971632282804	393.476947528445	329.236024444285
chr20	-	62334342-62334522	163.837990732567	177.933434632167	384.689621156842	364.511312777601
chr20	-	62334621-62335021	137.623912215356	134.652328910829	298.769096634501	248.886756573954
chr20	-	62335126-62335217	119.055606598998	118.301688971657	276.312595907072	212.631599120267
chr20	-	62335269-62336340	131.070392586053	131.76692186274	247.997877598573	211.651729999898
chr20	-	62336445-62336734	125.609126228301	148.117561801912	248.974247195418	226.349766805446
chr20	-	62336786-62337590	116.871100055897	128.881514814651	293.887248650278	268.484138981352
chr20	-	62337727-62337804	143.085178573108	130.805119513377	357.351272445188	309.638642036887
chr20	-	62337938-62338016	96.118287896439	155.811980596816	294.863618247122	284.16204490727
chr20	-	62338150-62338232	111.409833698145	190.436865173887	298.769096634501	264.564662499872
chr20	-	62338369-62338468	170.391510361869	202.940295715607	434.484470595925	342.954192129464
chr20	-	62338608-62345818	156.192217831713	177.933434632167	289.005400666054	270.443877222091
chr20	-	62345877-62346081	176.945029991172	181.780644029619	305.603683812415	266.524400740612
chr20	-	62346215-62346506	141.992925301558	151.002968850001	297.792727037657	215.571206481377
chr20	-	62346596-62346682	119.055606598998	101.951049032485	272.407117519692	226.349766805446
chr20	-	62346800-62346913	135.439405672255	127.919712465288	337.823880508292	264.564662499872
chr20	-	62347028-62351704	154.007711288613	127.919712465288	365.162229219946	261.625055138762
chr20	-	62351801-62351909	184.590802892025	157.735585295543	355.398533251498	310.618511157257
chr20	-	62352079-62352242	127.793632771402	125.996107766561	331.965662927224	250.846494814693
chr20	-	62352360-62353134	125.609126228301	150.041166500638	305.603683812415	243.987410972104
chr20	-	62353251-62356289	4.36901308620177	1.92360469872613	22.4565007274298	32.3356809722066
chr20	-	62353251-62362400	88.4725149955859	114.454479574205	204.061245740558	207.732253518418
chr20	-	62362552-62366949	65.5351962930266	75.9823855996821	132.78626517089	156.779059259183
chr6	+	31835057-31835411	476.222426395993	433.772859562742	269.478008729158	269.464008101721
chr6	+	31835057-31835414	76.457729008531	69.2497691541407	14.6455439526716	8.81882208332907
chr6	+	31835200-31835411	1956.22560934684	1643.72021506148	2997.45466231346	2408.51829786921
chr6	+	31835200-31835414	182.406296348924	181.780644029619	41.9838926643254	36.2551574536862
chr6	+	31835200-31836424	30.5830916034124	21.1596516859874	2.92910879053433	0.979869120369896
chr6	+	31835200-31837236	92.8415280817877	49.0519198175163	22.4565007274298	20.5772515277678
chr6	+	31835451-31836295	38.2288645042655	36.5484892757964	10.7400655652925	13.7181676851785
chr6	+	31835451-31836299	58.9816766637239	74.058780900956	15.6219135495164	8.81882208332907
chr6	+	31835451-31836413	21.8450654310089	15.388837589809	0.976369596844776	11.7584294444388
chr6	+	31835451-31836424	1394.80742776992	1270.54090350861	593.632714881624	555.585791249731
chr6	+	31835451-31836427	22.9373187025593	11.5416281923568	12.6928047589821	5.87921472221938
chr6	+	31835451-31837236	352.797806710793	293.349716555735	1506.53828793149	1216.01757837904
chr6	+	31836517-31837236	975.382171494546	963.725954061791	384.689621156842	398.806731990548
chr6	+	31837435-31839543	1559.73767177403	1539.84556133027	1493.84548317251	1482.54197911965
chr11	+	842915-847201	62.2584364783753	77.9059902984082	121.069830008752	67.6109693055228
chr11	+	842915-850288	12.0147859870549	17.3124422885352	15.6219135495164	12.7382985648087
chr11	+	843045-847201	44.7823841335682	60.5935480098731	65.4167629886	77.4096605092218
chr11	+	843050-847201	13.1070392586053	12.5034305417198	56.629436616997	37.2350265740561
chr11	+	844186-847201	25.1218252456602	11.5416281923568	136.691743558269	130.322593009196
chr11	+	844587-847201	4.36901308620177	1.92360469872613	24.4092399211194	22.5369897685076
chr11	+	847300-850288	209.712628137685	241.412389690129	549.696083023609	441.920973286823
chr11	+	847300-862550	21.8450654310089	14.427035240446	82.0150461349612	58.7921472221938
chr11	+	847300-864437	25.1218252456602	24.0450587340766	2.92910879053433	1.95973824073979
chr11	+	850367-862550	135.439405672255	168.315411138536	607.301889237451	505.612466110866
chr11	+	850367-864437	109.225327155044	115.416281923568	29.2910879053433	33.3155500925765
chr11	+	862741-864437	125.609126228301	123.110700718472	479.397472050785	419.383983518316
chr11	+	864511-865513	244.664732827299	244.297796738218	550.672452620454	430.162543842384
chr11	+	865614-865694	198.790095422181	252.954017882486	534.074169474092	364.511312777601
chr11	+	865825-865918	271.97106461606	339.516229325162	663.931325854448	540.887754444183
chr11	+	866001-866562	314.568942206528	391.453556190767	769.379242313683	617.317545833035
chr11	+	12674834-12675409	88.4725149955859	78.8677926477713	96.6605900876328	141.101153333265
chr11	+	12674834-12764179	57.8894233921735	59.63174566051	74.204089360203	90.1479590740305
chr11	+	12675561-12764179	152.915458017062	142.346747705734	151.33728751094	177.356310786951
chr11	+	12764434-12862250	160.561230917915	164.468201741084	211.872202515316	247.906887453584
chr11	+	12862314-12864686	125.609126228301	99.0656419843956	105.447916459236	85.248613472181
chr11	+	12862314-12864838	30.5830916034124	24.0450587340766	48.8184798422388	86.2284825925509
chr11	+	12864748-12864838	19.660558887908	11.5416281923568	46.8657406485492	41.1545030555356
chr11	+	12864748-12878889	31.6753448749629	25.0068610834397	8.78732637160298	14.6980368055484
chr11	+	12864748-12879708	61.1661832068248	57.7081409617839	12.6928047589821	22.5369897685076
chr11	+	12864900-12878889	2.18450654310089	1.92360469872613	42.9602622611701	38.214895694426
chr11	+	12864900-12879708	25.1218252456602	35.5866869264334	85.9205245223403	99.9466502777294
chr11	+	12878900-12879708	38.2288645042655	34.6248845770703	56.629436616997	54.8726707407142
chr11	+	12879842-12881005	113.594340241246	129.843317164014	170.864679447836	195.973824073979
chr11	+	12881051-12881896	170.391510361869	169.277213487899	210.895832918472	194.993954953609
chr11	+	12881957-12883001	178.037283262722	174.086225234715	230.423224855367	213.611468240637
chr11	+	12883125-12901940	180.221789805823	195.245876920702	230.423224855367	236.148458009145
chr11	+	12883125-12924912	10.9225327155044	16.3506399391721	10.7400655652925	8.81882208332907
chr11	+	12902113-12924912	176.945029991172	193.322272221976	274.359856713382	271.423746342461
chr11	+	12925052-12930174	199.882348693731	176.009829933441	231.399594452212	317.477594999846
chr11	+	12930326-12937109	234.834453383345	204.863900414333	285.099922278675	351.773014212793
chr10	+	103967895-103990675	108.133073883494	87.5240137920389	93.7314812970985	115.624556203648
chr10	+	103990839-103992598	90.6570215386868	57.7081409617839	68.3458717791343	86.2284825925509
chr10	+	103992646-103992984	80.8267420947328	72.1351762022298	63.4640237949104	100.926519398099
chr10	+	103993133-103998899	96.118287896439	70.2115715035037	74.204089360203	79.3693987499616
chr10	+	103998971-103999119	107.040820611943	66.3643621060515	74.204089360203	87.2083517129208
